KeyName,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN)
MAINMENU_ADVENTURE,Play Adventure,Inicar Aventura,PARTIU,Приключение,アドベンチャーモード,Abenteuermodus,MODE AVENTURE,Modo Aventura,Hraj příběh,모험 모드 시작하기,Speel Avontuur,Modalità Avventura,遊玩冒險模式,游玩冒险模式,Mulai Petualangan,Tryb przygody,Kaland Inditása,เริ่มการผจญภัย,Eventyr modus,Spil Eventyr,Joacă aventura,Set Sail!,שחק הרפתקה,Spela Äventyr,Παίξε Περιπέτεια,Chế Độ Cốt Truyện,Macera Modu Oyna,وضع المغامرة,Modo Aventura,Pelaa Seikkailutilaa
MAINMENU_ENDLESS,Play Endless,Iniciar Infinito,CABA N MUNDÃO,Бесконечный режим,エンドレスモード,Endlosmodus,MODE SANS FIN,Modo Infinito,Hraj nekonečný mód,무한 모드 시작하기,Speel Oneindig,Modalità Infinita,遊玩無盡模式,游玩无尽模式,Mulai Petualangan Tak Terhingga,Tryb nieskończony,Játssz végtelen módban,เริ่มการผจญภัยไร้ขีดจำกัด,Endeløs modus,Spil Endeløs,,Head for Unknown Seas,שחק אינסופי,Spela Oändligt,Παίξε Ατελείωτα,Chế Độ Tự Do,Sonsuz Mod Oyna,لعب لامنتهي,Modo Infinito,Pelaa Loputonta tilaa
MAINMENU_SETTINGS,Settings,Opções,FRESCURADA,Настройки,オプション,Optionen,OPTIONS,Opciones,Nastavení,설정,Instellingen,Opzioni,設定,设置,Pengaturan,Ustawienia,Beállitások,ตัวเลือก,Innstillinger,Indstillinger,Setări,Settin's,הגדרות,Inställningar,Ρυθμίσεις,Điều Chỉnh,Ayarlar,الإعدادات,Definições,Asetukset
MAINMENU_CREDITS,Credits,Créditos,N CLICA QUE,Авторы,クレジット,Credits,CRÉDITS,Créditos,Autoři,만든이,Credits,Crediti,制作人員名單,制作人员名单,Daftar Tim Pembuat,O twórcach,Készítők,คณะผู้พัฒนา,Kreditter,Kredits,Credite,Ye Maker,קרדיטים,Lista Över Medverkande,Συντελεστές,Thông tin trò chơi,Emeği Geçenler,فريق العمل,Créditos,Lopputekstit
MAINMENU_QUIT,Exit,Sair,VAZA,Выход,おわる,Beenden,QUITTER,Salir,Konec,나가기,Sluit,Esci,退出遊戲,退出游戏,Keluar,Wyjdź z gry,Kilépés,ออกเกม,Avslutt,Afslut,Ieșire,Leave While Ye Can,יציאה,Avsluta,Έξοδος,Thoát,Çıkış,خروج,Sair,Poistu
MAINMENU_CANCEL,Cancel,Cancelar,SAI ZICA,Отмена,キャンセル,Abbrechen,ANNULER,Cancelar,Zrušit,취소,Annuleer,Annulla,取消,取消,Batalkan,Powrót,Mégse,ยกเลิก,Avbryt,Annuller,Anulare,Go Back!,ביטול,Avbryt,Ακύρωση,Hủy,İptal,إلغاء,Cancelar,Peruuta
MAINMENU_CONFIRM,Confirm,Confirmar,D BOA,Принять,けってい,Bestätigen,CONFIRMER,Confirmar,Potvrdit,확인,Bevestig,Conferma,確定,确认,Setuju,Zatwierdź,Elfogad,ยืนยัน,Godta,Godkend,Confirmă,Aye!,אישור,Bekräfta,Επιβεβαίωση,Xác Nhận,Onayla,تأكيد,Confirmar,Vahvista
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS_FXGAMEPLAY,GAMEPLAY OPTIONS,OPÇÕES DE JOGO,MAIS FRESCURADA,НАСТРОЙКИ ИГРЫ,ゲームプレイ オプション,Gameplay-Optionen,OPTIONS DE JEU,Opciones de Juego,Nastavení hry,게임플레이 옵션,Spel opties,OPZIONI GIOCO,遊玩設定,游戏设置,Pengaturan Permainan,Opcje gry,JÁTÉK BEÁLLITÁSOK,ตั้งค่าการเล่น,SPILL INNSTILLINGER,Spil-Indstillinger,Opțiuni joc,Change the Game,אפשרויות משחק,Spel Inställningar,ΕΠΙΛΟΓΕΣ ΠΑΙΧΝΙΔΙΟΥ,Tùy Chỉnh Trò Chơi,OYUN İÇİ AYARLARI,خيارات اللعبة,OPÇÕES DE JOGO,PELAAMISASETUKSET
SETTINGS_FXPERFORMANCE,VIDEO OPTIONS,OPÇÕES DE VÍDEO,RODA CRYSIS?,НАСТРОЙКИ ГРАФИКИ,ビデオ オプション,Grafikoptionen,VIDÉO,Opciones de Vídeo,Nastavení videa,비디오 옵션,VIDEO-OPTIES,OPZIONI VIDEO,畫面設定,画面设置,Pengaturan Video,Ustawienia grafiki,VIDEÓ BEÁLLITÁSOK,ตั้งค่าการแสดงผล,GRAFIKK INNSTILLINGER,Video-Indstillinger,Opțiuni video,Change the Movie,אפשרויות וידאו,Grafik Inställningar,ΕΠΙΛΟΓΕΣ ΒΙΝΤΕΟ,Tùy Chỉnh Đồ Họa,EKRAN AYARLARI,إعدادات الرسوميات,OPÇÕES DE VIDEO,VIDEOASETUKSET
